representation,method,random_state,sample_index,description_id,description,true_concept,raw_cluster_id,hungarian_matched_predicted_concept,prediction_correct,x,y,explained_variance_ratio_pc1,explained_variance_ratio_pc2
eot,pca,not_applicable,0,slot_01__cat__r01__c001,A retractable-clawed mouser reveals a warm orange coat with white patches.,cat,7,cat,True,0.24006925523281097,0.11719571799039841,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,1,slot_01__dog__r01__c002,A panting ball retriever reveals a short golden coat with a pale chest.,dog,1,dog,True,0.3651512563228607,-0.13443447649478912,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,2,slot_01__fox__r02__c083,Warm russet fur beneath a pale throat defines a russet snowline hunter.,fox,3,rabbit,False,-0.024168800562620163,0.3532033860683441,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,3,slot_01__bear__r04__c242,Shaggy dark fur suited to cold woodland defines a towering honey seeker.,bear,2,bear,True,-0.08515454083681107,0.1725470870733261,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,4,slot_01__wolf__r01__c002,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,wolf,4,wolf,True,0.2090511918067932,-0.0080515556037426,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,5,slot_01__rabbit__r12__c881,A softly lit meadow grazer shows a warm chestnut coat blending into meadow soil.,rabbit,3,rabbit,True,-0.13493658602237701,0.027825977653265,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,6,slot_01__deer__r07__c483,An antlered browser shows a spotted chestnut coat blending with leaf litter.,deer,0,deer,True,-0.22432950139045715,-0.07818800956010818,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,7,slot_01__horse__r01__c002,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,horse,5,horse,True,0.15428847074508667,-0.26179632544517517,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,8,slot_02__cat__r01__c002,A long-whiskered home companion has a smooth black coat reflecting window light.,cat,7,cat,True,0.3756831884384155,0.20863164961338043,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,9,slot_02__dog__r01__c001,A floppy-eared home guardian shows white spotted hair across a sturdy back.,dog,7,cat,False,0.3225567042827606,-0.024758201092481613,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,10,slot_02__fox__r01__c005,Dense copper hair blending into autumn leaves defines a slender twilight forager.,fox,3,rabbit,False,-0.18272924423217773,0.14926795661449432,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,11,slot_02__bear__r01__c002,A heavy black coat covering broad shoulders identifies a towering honey seeker.,bear,2,bear,True,0.09355347603559494,0.035394929349422455,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,12,slot_02__wolf__r01__c002,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,wolf,4,wolf,True,0.10144706815481186,-0.018429987132549286,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,13,slot_02__rabbit__r12__c882,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,rabbit,3,rabbit,True,0.10366592556238174,0.14672240614891052,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,14,slot_02__deer__r02__c081,A branch-antlered visitor shows a smooth reddish-brown summer coat.,deer,0,deer,True,-0.12890516221523285,-0.03488461300730705,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,15,slot_02__horse__r01__c002,Smooth black hair with a white facial blaze defines a bridled stable companion.,horse,5,horse,True,0.27237576246261597,-0.03822120651602745,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,16,slot_03__cat__r05__c322,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",cat,7,cat,True,0.05084303021430969,0.35118383169174194,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,17,slot_03__dog__r02__c082,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",dog,7,cat,False,0.1569264829158783,0.019667433574795723,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,18,slot_03__fox__r02__c082,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,fox,2,bear,False,-0.2818804979324341,0.10215306282043457,0.05665278807282448,0.04545968770980835
eot,pca,not_applicable,19,slot_03__bear__r01__c002,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,bear,2,bear,True,-0.20491717755794525,0.04171472787857056,0.05665278807282448,0.04545968770980835
