query_sample_index,query_description_id,query_true_concept,query_description,neighbor_rank,neighbor_sample_index,neighbor_description_id,neighbor_true_concept,neighbor_description,cosine_distance,cosine_similarity,same_true_concept,included_in_k5,included_in_k10,included_in_k20
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,1,160,slot_21__cat__r01__c001,cat,A retractable-clawed mouser has the floor before springing onto furniture.,0.3696117448264582,0.6303882551735418,True,True,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,2,42,slot_06__fox__r15__c1123,fox,A sharp-eared orange hunter shows white cheeks and a long narrow snout.,0.3840456600300879,0.6159543399699121,False,True,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,3,240,slot_31__cat__r01__c001,cat,A retractable-clawed mouser shows a garden wall overlooking moving leaves.,0.4532878494302961,0.5467121505697039,True,True,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,4,122,slot_16__fox__r04__c246,fox,A light elongated frame beneath a full tail marks a russet snowline hunter.,0.4609125455794524,0.5390874544205476,False,True,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,5,80,slot_11__cat__r01__c007,cat,A striped household mouser has quiet padded paws beneath flexible forelegs.,0.49996818858660264,0.5000318114133974,True,True,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,6,2,slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,0.5132936212971929,0.4867063787028071,False,False,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,7,154,slot_20__fox__r07__c484,fox,"Orange-chested hedgerow-stalker becomes recognizable through a graceful ground-hugging body with delicate proportions, while soft light preserves surface detail.",0.5138809575544485,0.4861190424455515,False,False,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,8,1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,0.5273974235322074,0.4726025764677926,False,False,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,9,40,slot_06__cat__r01__c002,cat,A striped household mouser reveals pointed ears above bright slit-shaped eyes.,0.5335812846469953,0.4664187153530047,True,False,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,10,370,slot_47__fox__r05__c324,fox,Short warning barks from dense cover marks an orange-chested hedge stalker.,0.5355937209691444,0.46440627903085563,False,False,True,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,11,120,slot_16__cat__r01__c002,cat,A striped household mouser carries a compact low torso with a flexible spine.,0.5435801321904745,0.4564198678095255,True,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,12,130,slot_17__fox__r15__c1121,fox,A slender red hunter carries a huge bushy tail with a bright white tip.,0.5452033247571834,0.45479667524281664,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,13,4,slot_01__wolf__r01__c002,wolf,A layered gray coat with pale guard hairs defines a sharp-eared snow tracker.,0.5463681272274398,0.45363187277256023,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,14,200,slot_26__cat__r02__c082,cat,Moving string with focused paw taps identifies an upright-tailed lap companion.,0.5514180183970351,0.4485819816029649,True,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,15,50,slot_07__fox__r01__c001,fox,A red-coated dusk hunter reveals fine whiskers surrounding a compact black nose.,0.5534695591568648,0.4465304408431352,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,16,25,slot_04__dog__r01__c002,dog,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.",0.5671890551663927,0.43281094483360727,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,17,202,slot_26__fox__r01__c002,fox,An amber-eyed meadow prowler shows faint ground sounds with tilted ears.,0.5699896253290342,0.4300103746709658,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,18,258,slot_33__fox__r01__c001,fox,Orange-chested hedgerow-stalker carries a woodland margin beside open grass across a calm farmyard.,0.5702375861994966,0.4297624138005034,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,19,210,slot_27__fox__r05__c322,fox,Faint ground sounds with tilted ears identifies a russet snowline hunter.,0.5744822052498347,0.42551779475016527,False,False,False,True
0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,20,48,slot_07__cat__r01__c001,cat,A whiskered lap companion shows fine cheek whiskers below independently turning ears.,0.5777841522544834,0.42221584774551657,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,1,129,slot_17__dog__r01__c004,dog,A panting ball retriever shows a sturdy medium frame with a broad chest.,0.20802466110902684,0.7919753388909732,True,True,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,2,81,slot_11__dog__r01__c002,dog,A panting ball retriever carries broad padded paws beneath sturdy running legs.,0.24815347937636045,0.7518465206236395,True,True,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,3,345,slot_44__dog__r01__c004,dog,"Within a shallow stream bank, panting ball-chaser demonstrates coordinated running beside a familiar walking partner, where its full body stays visible.",0.4824940909679033,0.5175059090320967,True,True,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,4,0,slot_01__cat__r01__c001,cat,A retractable-clawed mouser reveals a warm orange coat with white patches.,0.5273974235322074,0.4726025764677926,False,True,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,5,89,slot_12__dog__r02__c082,dog,A broad-pawed walking partner carries straight forelegs supporting a ready stance.,0.5319747728977949,0.46802522710220507,True,True,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,6,281,slot_36__dog__r01__c001,dog,A broad-pawed walking partner reveals a walking partner by matching their pace.,0.5341732835617232,0.4658267164382768,True,False,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,7,201,slot_26__dog__r01__c001,dog,A broad-pawed walking partner shows the floor beside a familiar person's chair.,0.5385761894869986,0.4614238105130014,True,False,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,8,161,slot_21__dog__r02__c082,dog,A footpath while pulling lightly against a leash identifies a collared gate watcher.,0.544779795744897,0.455220204255103,True,False,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,9,7,slot_01__horse__r01__c002,horse,A saddle-trained trail companion shows a glossy chestnut coat beneath a dark mane.,0.5573185091930446,0.4426814908069554,False,False,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,10,137,slot_18__dog__r01__c001,dog,Leash-following walking-partner displays a sturdy medium frame with a broad chest beside a narrow riverside path.,0.5598186925712185,0.4401813074287815,True,False,True,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,11,289,slot_37__dog__r01__c002,dog,A wagging yard guardian has a handler's gesture before sitting attentively.,0.564720378464438,0.435279621535562,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,12,249,slot_32__dog__r01__c001,dog,A floppy-eared home guardian has an open field suited to running and retrieval.,0.5650495624160732,0.4349504375839268,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,13,42,slot_06__fox__r15__c1123,fox,A sharp-eared orange hunter shows white cheeks and a long narrow snout.,0.5673350086883883,0.43266499131161174,False,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,14,85,slot_11__rabbit__r01__c002,rabbit,A hind-legged field nibbler shows oversized hind feet behind small front paws.,0.5799288120100122,0.42007118798998777,False,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,15,153,slot_20__dog__r01__c002,dog,"A clear view shows wagging household-companion with a solid companion-sized body carried on four even legs, as the head and torso remain visible.",0.5804984277981573,0.4195015722018427,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,16,25,slot_04__dog__r01__c002,dog,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.",0.5816898299873338,0.41831017001266624,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,17,200,slot_26__cat__r02__c082,cat,Moving string with focused paw taps identifies an upright-tailed lap companion.,0.5886842210453669,0.4113157789546331,False,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,18,305,slot_39__dog__r03__c162,dog,"A returning person with vigorous tail sweeps distinguishes tongue-out family-companion near a narrow riverside path, where the posture remains natural.",0.5932371785938453,0.4067628214061547,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,19,169,slot_22__dog__r01__c002,dog,A footpath while pulling lightly against a leash marks a keen-nosed scent tracker.,0.59399011700747,0.40600988299253005,True,False,False,True
1,slot_01__dog__r01__c002,dog,A panting ball retriever reveals a short golden coat with a pale chest.,20,91,slot_12__bear__r02__c082,bear,A bulky streamside fisher has heavy hind limbs behind a very short tail.,0.5973068695300694,0.4026931304699306,False,False,False,True
2,slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,1,122,slot_16__fox__r04__c246,fox,A light elongated frame beneath a full tail marks a russet snowline hunter.,0.2556616844116084,0.7443383155883916,True,True,True,True
2,slot_01__fox__r02__c083,fox,Warm russet fur beneath a pale throat defines a russet snowline hunter.,2,210,slot_27__fox__r05__c322,fox,Faint ground sounds with tilted ears identifies a russet snowline hunter.,0.2656036736291443,0.7343963263708557,True,True,True,True
